#  L TT            EE            BB            TE            PP            PT            PE           
 169 1.7815018e+03 3.4429796e-01 2.4230026e-03 -1.3158444e+01 5.6290904e-08 2.6621365e-04 -1.7372880e-06
 170 1.7895364e+03 3.4031179e-01 2.4545787e-03 -1.3002251e+01 5.5943101e-08 2.6383877e-04 -1.7676664e-06
 171 1.7974487e+03 3.3630768e-01 2.4865498e-03 -1.2836800e+01 5.5598497e-08 2.6148966e-04 -1.7974794e-06
 172 1.8052519e+03 3.3229258e-01 2.5189178e-03 -1.2662275e+01 5.5257068e-08 2.5916506e-04 -1.8257034e-06
 173 1.8129297e+03 3.2827343e-01 2.5516838e-03 -1.2478786e+01 5.4918766e-08 2.5686356e-04 -1.8513135e-06
 174 1.8204803e+03 3.2425717e-01 2.5848476e-03 -1.2286517e+01 5.4583575e-08 2.5458385e-04 -1.8732859e-06
 175 1.8279096e+03 3.2026559e-01 2.6184076e-03 -1.2085800e+01 5.4251473e-08 2.5232467e-04 -1.8905974e-06
 176 1.8352086e+03 3.1629691e-01 2.6523615e-03 -1.1876692e+01 5.3922416e-08 2.5008490e-04 -1.9024411e-06
 177 1.8423753e+03 3.1236649e-01 2.6867055e-03 -1.1659115e+01 5.3596363e-08 2.4786424e-04 -1.9088773e-06
 178 1.8494004e+03 3.0847355e-01 2.7214349e-03 -1.1433013e+01 5.3273307e-08 2.4566278e-04 -1.9101841e-06
 179 1.8562893e+03 3.0461731e-01 2.7565438e-03 -1.1198256e+01 5.2953205e-08 2.4348043e-04 -1.9066385e-06
 180 1.8630401e+03 3.0081184e-01 2.7920255e-03 -1.0954861e+01 5.2636014e-08 2.4131715e-04 -1.8985177e-06
 181 1.8696434e+03 2.9706377e-01 2.8278721e-03 -1.0702847e+01 5.2321728e-08 2.3917305e-04 -1.8860999e-06
 182 1.8761046e+03 2.9337976e-01 2.8640751e-03 -1.0442157e+01 5.2010292e-08 2.3704795e-04 -1.8696611e-06
 183 1.8824219e+03 2.8975901e-01 2.9006248e-03 -1.0172809e+01 5.1701686e-08 2.3494195e-04 -1.8494793e-06
 184 1.8885859e+03 2.8621561e-01 2.9375111e-03 -9.8948963e+00 5.1395887e-08 2.3285501e-04 -1.8258315e-06
 185 1.8946020e+03 2.8276362e-01 2.9747230e-03 -9.6082134e+00 5.1092852e-08 2.3078709e-04 -1.7989946e-06
 186 1.9004608e+03 2.7940226e-01 3.0122490e-03 -9.3130014e+00 5.0792544e-08 2.2873816e-04 -1.7692454e-06
 187 1.9061679e+03 2.7613893e-01 3.0500771e-03 -9.0092041e+00 5.0494950e-08 2.2670823e-04 -1.7368609e-06
 188 1.9117213e+03 2.7299068e-01 3.0881948e-03 -8.6969881e+00 5.0200017e-08 2.2469728e-04 -1.7021182e-06
 189 1.9171116e+03 2.6996563e-01 3.1265895e-03 -8.3763715e+00 4.9907737e-08 2.2270530e-04 -1.6652940e-06
 190 1.9223443e+03 2.6707492e-01 3.1652481e-03 -8.0475209e+00 4.9618068e-08 2.2073230e-04 -1.6266652e-06
 191 1.9274175e+03 2.6432741e-01 3.2041574e-03 -7.7106030e+00 4.9330967e-08 2.1877816e-04 -1.5865080e-06
 192 1.9323217e+03 2.6173498e-01 3.2433045e-03 -7.3655616e+00 4.9046434e-08 2.1684300e-04 -1.5450998e-06
 193 1.9370551e+03 2.5930800e-01 3.2826761e-03 -7.0125633e+00 4.8764398e-08 2.1492668e-04 -1.5027165e-06
 194 1.9416306e+03 2.5705909e-01 3.3222593e-03 -6.6519233e+00 4.8484862e-08 2.1302930e-04 -1.4596355e-06
 195 1.9460387e+03 2.5500084e-01 3.3620414e-03 -6.2837339e+00 4.8207791e-08 2.1115079e-04 -1.4161328e-06
 196 1.9502849e+03 2.5314589e-01 3.4020099e-03 -5.9083103e+00 4.7933125e-08 2.0929109e-04 -1.3724847e-06
 197 1.9543748e+03 2.5150832e-01 3.4421529e-03 -5.5258191e+00 4.7660869e-08 2.0745028e-04 -1.3289682e-06
 198 1.9583138e+03 2.5010078e-01 3.4824589e-03 -5.1365012e+00 4.7390975e-08 2.0562828e-04 -1.2858594e-06
 199 1.9620851e+03 2.4893586e-01 3.5229168e-03 -4.7405232e+00 4.7123412e-08 2.0382507e-04 -1.2434345e-06
 200 1.9657090e+03 2.4802621e-01 3.5635163e-03 -4.3382744e+00 4.6858151e-08 2.0204067e-04 -1.2019702e-06
 201 1.9691752e+03 2.4738689e-01 3.6042477e-03 -3.9297933e+00 4.6595163e-08 2.0027502e-04 -1.1616918e-06
 202 1.9724766e+03 2.4703157e-01 3.6451020e-03 -3.5152742e+00 4.6334437e-08 1.9852800e-04 -1.1226220e-06
 203 1.9755903e+03 2.4697566e-01 3.6860710e-03 -3.0944865e+00 4.6075933e-08 1.9679938e-04 -1.0847322e-06
